Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"ABBA",,"Abies balsamea (L.) Mill.",balsam fir
"ABBAB",,"Abies balsamea (L.) Mill. var. balsamea ",balsam fir
"ABTH",,"Abutilon theophrasti Medik.",velvetleaf
"ACGR2",,"Acalypha gracilens A. Gray",slender threeseed mercury
"ACRH",,"Acalypha rhomboidea Raf.",common threeseed mercury
"ACFR",,"Acer ×freemanii A.E. Murray [rubrum × saccharinum]",Freeman maple
"ACGI",,"Acer ginnala Maxim.",Amur maple
"ACNE2",,"Acer negundo L.",boxelder
"ACNEI2",,"Acer negundo L. var. interius (Britton) Sarg.",boxelder
"ACNEN",,"Acer negundo L. var. negundo ",boxelder
"ACNEV",,"Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger",boxelder
"ACNI5",,"Acer nigrum Michx. f.",black maple
"ACPE",,"Acer pensylvanicum L.",striped maple
"ACPL",,"Acer platanoides L.",Norway maple
"ACRU",,"Acer rubrum L.",red maple
"ACRUR",,"Acer rubrum L. var. rubrum ",red maple
"ACSA2",,"Acer saccharinum L.",silver maple
"ACSA3",,"Acer saccharum Marshall",sugar maple
"ACSAS",,"Acer saccharum Marshall var. saccharum ",sugar maple
"ACSP2",,"Acer spicatum Lam.",mountain maple
"ACMI2",,"Achillea millefolium L.",common yarrow
"ACMIM2",,"Achillea millefolium L. var. millefolium ",common yarrow
"ACMIO",,"Achillea millefolium L. var. occidentalis DC.",western yarrow
"ACPT",,"Achillea ptarmica L.",sneezeweed
"ACAR2",,"Acinos arvensis (Lam.) Dandy",basil thyme
"ACNA",,"Aconitum napellus L.",Venus' chariot
"ACNO2",,"Aconitum noveboracense A. Gray ex Coville",northern blue monkshood
"ACAM",,"Acorus americanus (Raf.) Raf.",sweetflag
"ACCA4",,"Acorus calamus L.",calamus
"ACRE3",,"Acroptilon repens (L.) DC.",hardheads
"ACPA",,"Actaea pachypoda Elliott",white baneberry
"ACRU2",,"Actaea rubra (Aiton) Willd.",red baneberry
"ACRUR2",,"Actaea rubra (Aiton) Willd. ssp. rubra ",red baneberry
"ADPE",,"Adiantum pedatum L.",northern maidenhair
"ADFU",,"Adlumia fungosa (Aiton) Greene ex Britton, Sterns & Poggenb.",allegheny vine
"ADMO",,"Adoxa moschatellina L.",muskroot
"AEPO",,"Aegopodium podagraria L.",bishop's goutweed
"AEGL",,"Aesculus glabra Willd.",Ohio buckeye
"AEGLG",,"Aesculus glabra Willd. var. glabra ",Ohio buckeye
"AECY2",,"Aethusa cynapium L.",fool's parsley
"AGAS2",,"Agalinis aspera (Douglas ex Benth.) Britton",tall false foxglove
"AGAU3",,"Agalinis auriculata (Michx.) S.F. Blake",earleaf false foxglove
"AGGA",,"Agalinis gattingeri (Small) Small",roundstem false foxglove
"AGPA12",,"Agalinis paupercula (A. Gray) Britton",smallflower false foxglove
"AGPAB",,"Agalinis paupercula (A. Gray) Britton var. borealis Pennell",smallflower false foxglove
"AGPAP3",,"Agalinis paupercula (A. Gray) Britton var. paupercula ",smallflower false foxglove
"AGPU5",,"Agalinis purpurea (L.) Pennell",purple false foxglove
"AGSK",,"Agalinis skinneriana (Alph. Wood) Britton",Skinner's false foxglove
"AGTE3",,"Agalinis tenuifolia (Vahl) Raf.",slenderleaf false foxglove
"AGTEM",,"Agalinis tenuifolia (Vahl) Raf. var. macrophylla (Benth.) S.F. Blake",slenderleaf false foxglove
"AGTEP2",,"Agalinis tenuifolia (Vahl) Raf. var. parviflora (Nutt.) Pennell",slenderleaf false foxglove
"AGFO",,"Agastache foeniculum (Pursh) Kuntze",blue giant hyssop
"AGNE2",,"Agastache nepetoides (L.) Kuntze",yellow giant hyssop
"AGSC",,"Agastache scrophulariifolia (Willd.) Kuntze",purple giant hyssop
"AGAL5",,"Ageratina altissima (L.) R.M. King & H. Rob.",white snakeroot
"AGALA",,"Ageratina altissima (L.) R.M. King & H. Rob. var. altissima ",white snakeroot
"AGGR2",,"Agrimonia gryposepala Wallr.",tall hairy agrimony
"AGPA6",,"Agrimonia parviflora Aiton",harvestlice
"AGPU",,"Agrimonia pubescens Wallr.",soft agrimony
"AGRO3",,"Agrimonia rostellata Wallr.",beaked agrimony
"AGST",,"Agrimonia striata Michx.",roadside agrimony
"AGDE2",,"Agropyron desertorum (Fisch. ex Link) Schult.",desert wheatgrass
"AGGI",,"Agrostemma githago L.",common corncockle
"AGGI2",,"Agrostis gigantea Roth",redtop
"AGHY",,"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.",winter bentgrass
"AGPE",,"Agrostis perennans (Walter) Tuck.",upland bentgrass
"AGSC5",,"Agrostis scabra Willd.",rough bentgrass
"AGST2",,"Agrostis stolonifera L.",creeping bentgrass
"AIAL",,"Ailanthus altissima (Mill.) Swingle",tree of heaven
"AJGE",,"Ajuga genevensis L.",blue bugle
"AJRE",,"Ajuga reptans L.",common bugle
"ALRO3",,"Alcea rosea L.",hollyhock
"ALMO4",,"Alchemilla monticola Opiz",hairy lady's mantle
"ALFA2",,"Aletris farinosa L.",white colicroot
"ALGR",,"Alisma gramineum Lej.",narrowleaf water plantain
"ALSU",,"Alisma subcordatum Raf.",American water plantain
"ALTR7",,"Alisma triviale Pursh",northern water plantain
"ALPE4",,"Alliaria petiolata (M. Bieb.) Cavara & Grande",garlic mustard
"ALBU2",,"Allium burdickii (Hanes) A.G. Jones",narrowleaf wild leek
"ALCA3",,"Allium canadense L.",meadow garlic
"ALCAC",,"Allium canadense L. var. canadense ",meadow garlic
"ALCE",,"Allium cepa L.",garden onion
"ALCE2",,"Allium cernuum Roth",nodding onion
"ALCEC2",,"Allium cernuum Roth var. cernuum ",nodding onion
"ALSA2",,"Allium sativum L.",cultivated garlic
"ALSC",,"Allium schoenoprasum L.",wild chives
"ALSCS2",,"Allium schoenoprasum L. var. schoenoprasum ",wild chives
"ALST",,"Allium stellatum Fraser ex Ker Gawl.",autumn onion
"ALTR3",,"Allium tricoccum Aiton",ramp
"ALTU3",,"Allium tuberosum Rottler ex Spreng.",Chinese chives
"ALVI",,"Allium vineale L.",wild garlic
"ALVIV",,"Allium vineale L. ssp. vineale ",wild garlic
"ALGL2",,"Alnus glutinosa (L.) Gaertn.",European alder
"ALIN2",,"Alnus incana (L.) Moench",gray alder
"ALINR",,"Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen",speckled alder
"ALVI5",,"Alnus viridis (Chaix) DC.",green alder
"ALVIC",,"Alnus viridis (Chaix) DC. ssp. crispa (Aiton) Turrill",mountain alder
"ALAE",,"Alopecurus aequalis Sobol.",shortawn foxtail
"ALAEA",,"Alopecurus aequalis Sobol. var. aequalis ",shortawn foxtail
"ALCA4",,"Alopecurus carolinianus Walter",Carolina foxtail
"ALGE2",,"Alopecurus geniculatus L.",water foxtail
"ALGEG4",,"Alopecurus geniculatus L. var. geniculatus ",water foxtail
"ALPR3",,"Alopecurus pratensis L.",meadow foxtail
"ALOF2",,"Althaea officinalis L.",common marshmallow
"ALAL3",,"Alyssum alyssoides (L.) L.",pale madwort
"AMAL",,"Amaranthus albus L.",prostrate pigweed
"AMAR",,"Amaranthus arenicola I.M. Johnst.",sandhill amaranth
"AMBL",,"Amaranthus blitoides S. Watson",mat amaranth
"AMCA3",,"Amaranthus caudatus L.",foxtail amaranth
"AMCR4",,"Amaranthus cruentus L.",red amaranth
"AMHY",,"Amaranthus hybridus L.",slim amaranth
"AMHY2",,"Amaranthus hypochondriacus L.",Prince-of-Wales feather
"AMPA",,"Amaranthus palmeri S. Watson",carelessweed
"AMPO2",,"Amaranthus powellii S. Watson",Powell's amaranth
"AMPOP",,"Amaranthus powellii S. Watson ssp. powellii ",Powell's amaranth
"AMRE",,"Amaranthus retroflexus L.",redroot amaranth
"AMSP",,"Amaranthus spinosus L.",spiny amaranth
"AMTU",,"Amaranthus tuberculatus (Moq.) Sauer",roughfruit amaranth
"AMIN",,"Ambrosia ×intergradiens W.H. Wagner [artemisiifolia × psilostachya]",ragweed
"AMAR2",,"Ambrosia artemisiifolia L.",annual ragweed
"AMARE",,"Ambrosia artemisiifolia L. var. elatior (L.) Descourtils",annual ragweed
"AMPS",,"Ambrosia psilostachya DC.",Cuman ragweed
"AMTO3",,"Ambrosia tomentosa Nutt.",skeletonleaf bur ragweed
"AMTR",,"Ambrosia trifida L.",great ragweed
"AMTRT2",,"Ambrosia trifida L. var. trifida ",great ragweed
"AMNE",,"Amelanchier ×neglecta Eggl. ex G.N. Jones (pro sp.) [bartramiana × laevis]",serviceberry
"AMAR3",,"Amelanchier arborea (Michx. f.) Fernald",common serviceberry
"AMARA4",,"Amelanchier arborea (Michx. f.) Fernald var. arborea ",common serviceberry
"AMBA",,"Amelanchier bartramiana (Tausch) M. Roem.",oblongfruit serviceberry
"AMHU2",,"Amelanchier humilis Wiegand",low serviceberry
"AMIN2",,"Amelanchier interior E.L. Nielsen",inland serviceberry
"AMLA",,"Amelanchier laevis Wiegand",Allegheny serviceberry
"AMSA",,"Amelanchier sanguinea (Pursh) DC.",roundleaf serviceberry
"AMSAS",,"Amelanchier sanguinea (Pursh) DC. var. sanguinea ",roundleaf serviceberry
"AMST80",,"Amelanchier stolonifera Wiegand",running serviceberry
"AMRO",,"Amerorchis rotundifolia (Banks ex Pursh) Hultén",roundleaf orchid
"AMRO3",,"Ammannia robusta Heer & Regel",grand redstem
"AMBR",,"Ammophila breviligulata Fernald",American beachgrass
"AMCA6",,"Amorpha canescens Pursh",leadplant
"AMFR",,"Amorpha fruticosa L.",false indigo bush
"AMBR7",,"Ampelopsis brevipedunculata (Maxim.) Trautv.",Amur peppervine
"AMBR2",,"Amphicarpaea bracteata (L.) Fernald",American hogpeanut
"AMBRB",,"Amphicarpaea bracteata (L.) Fernald var. bracteata ",American hogpeanut
"AMBRC",,"Amphicarpaea bracteata (L.) Fernald var. comosa ",American hogpeanut
"AMLY",,"Amsinckia lycopsoides Lehm.",tarweed fiddleneck
"ANAR",,"Anagallis arvensis L.",scarlet pimpernel
"ANARA7",,"Anagallis arvensis L. ssp. arvensis ",scarlet pimpernel
"ANMA",,"Anaphalis margaritacea (L.) Benth.",western pearly everlasting
"ANAR16",,"Anchusa arvensis (L.) M. Bieb.",small bugloss
"ANOF",,"Anchusa officinalis L.",common bugloss
"ANPO",,"Andromeda polifolia L.",bog rosemary
"ANPOG",,"Andromeda polifolia L. var. glaucophylla (Link) DC.",bog rosemary
"ANGE",,"Andropogon gerardii Vitman",big bluestem
"ANOC2",,"Androsace occidentalis Pursh",western rockjasmine
"ANCA8",,"Anemone canadensis L.",Canadian anemone
"ANCA9",,"Anemone caroliniana Walter",Carolina anemone
"ANCY",,"Anemone cylindrica A. Gray",candle anemone
"ANMU",,"Anemone multifida Poir.",Pacific anemone
"ANMUM3",,"Anemone multifida Poir. var. multifida ",Pacific anemone
"ANQU",,"Anemone quinquefolia L.",wood anemone
"ANQUB2",,"Anemone quinquefolia L. var. bifolia Farw.",twoleaf anemone
"ANVI3",,"Anemone virginiana L.",tall thimbleweed
"ANVIA2",,"Anemone virginiana L. var. alba (Oakes) Alph. Wood",tall thimbleweed
"ANVIV2",,"Anemone virginiana L. var. virginiana ",tall thimbleweed
"ANGR2",,"Anethum graveolens L.",dill
"ANAT",,"Angelica atropurpurea L.",purplestem angelica
"ANHO",,"Antennaria howellii Greene",Howell's pussytoes
"ANHOC",,"Antennaria howellii Greene ssp. canadensis (Greene) Bayer",Canadian pussytoes
"ANHON",,"Antennaria howellii Greene ssp. neodioica (Greene) Bayer",Howell's pussytoes
"ANHOP",,"Antennaria howellii Greene ssp. petaloidea (Fernald) Bayer",small pussytoes
"ANNE",,"Antennaria neglecta Greene",field pussytoes
"ANPA9",,"Antennaria parlinii Fernald",Parlin's pussytoes
"ANPAF",,"Antennaria parlinii Fernald ssp. fallax (Greene) Bayer & Stebbins",Parlin's pussytoes
"ANPAP",,"Antennaria parlinii Fernald ssp. parlinii ",Parlin's pussytoes
"ANPL",,"Antennaria plantaginifolia (L.) Richardson",woman's tobacco
"ANAR6",,"Anthemis arvensis L.",corn chamomile
"ANCO2",,"Anthemis cotula L.",stinking chamomile
"ANTI",,"Anthemis tinctoria L.",golden chamomile
