Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"ELMA8",,"×Elyhordeum macounii (Vasey) Barkworth & D.R. Dewey [Elymus trachycaulus × Hordeum jubatum]",Macoun's barley
"ABBA",,"Abies balsamea (L.) Mill.",balsam fir
"ABBAB",,"Abies balsamea (L.) Mill. var. balsamea ",balsam fir
"ABTH",,"Abutilon theophrasti Medik.",velvetleaf
"ACRH",,"Acalypha rhomboidea Raf.",common threeseed mercury
"ACGI",,"Acer ginnala Maxim.",Amur maple
"ACNE2",,"Acer negundo L.",boxelder
"ACNEI2",,"Acer negundo L. var. interius (Britton) Sarg.",boxelder
"ACNEN",,"Acer negundo L. var. negundo ",boxelder
"ACNEV",,"Acer negundo L. var. violaceum (G. Kirchn.) H. Jaeger",boxelder
"ACNI5",,"Acer nigrum Michx. f.",black maple
"ACPE",,"Acer pensylvanicum L.",striped maple
"ACPL",,"Acer platanoides L.",Norway maple
"ACRU",,"Acer rubrum L.",red maple
"ACRUR",,"Acer rubrum L. var. rubrum ",red maple
"ACSA2",,"Acer saccharinum L.",silver maple
"ACSA3",,"Acer saccharum Marshall",sugar maple
"ACSAS",,"Acer saccharum Marshall var. saccharum ",sugar maple
"ACSP2",,"Acer spicatum Lam.",mountain maple
"ACTA80",,"Acer tataricum L.",tatarian maple
"ACMI2",,"Achillea millefolium L.",common yarrow
"ACMIM2",,"Achillea millefolium L. var. millefolium ",common yarrow
"ACMIO",,"Achillea millefolium L. var. occidentalis DC.",western yarrow
"ACNO",,"Achillea nobilis L.",noble yarrow
"ACPT",,"Achillea ptarmica L.",sneezeweed
"ACSI",,"Achillea sibirica Ledeb.",Siberian yarrow
"ACHY",,"Achnatherum hymenoides (Roem. & Schult.) Barkworth",Indian ricegrass
"ACNA",,"Aconitum napellus L.",Venus' chariot
"ACAM",,"Acorus americanus (Raf.) Raf.",sweetflag
"ACCA4",,"Acorus calamus L.",calamus
"ACRE3",,"Acroptilon repens (L.) DC.",hardheads
"ACPA",,"Actaea pachypoda Elliott",white baneberry
"ACRU2",,"Actaea rubra (Aiton) Willd.",red baneberry
"ACRUR2",,"Actaea rubra (Aiton) Willd. ssp. rubra ",red baneberry
"ADBI",,"Adenocaulon bicolor Hook.",American trailplant
"ADPE",,"Adiantum pedatum L.",northern maidenhair
"ADFU",,"Adlumia fungosa (Aiton) Greene ex Britton, Sterns & Poggenb.",allegheny vine
"ADMO",,"Adoxa moschatellina L.",muskroot
"AEPO",,"Aegopodium podagraria L.",bishop's goutweed
"AEGL",,"Aesculus glabra Willd.",Ohio buckeye
"AEGLG",,"Aesculus glabra Willd. var. glabra ",Ohio buckeye
"AEHI",,"Aesculus hippocastanum L.",horse chestnut
"AECY2",,"Aethusa cynapium L.",fool's parsley
"AGAS2",,"Agalinis aspera (Douglas ex Benth.) Britton",tall false foxglove
"AGAU3",,"Agalinis auriculata (Michx.) S.F. Blake",earleaf false foxglove
"AGGA",,"Agalinis gattingeri (Small) Small",roundstem false foxglove
"AGPA12",,"Agalinis paupercula (A. Gray) Britton",smallflower false foxglove
"AGPAB",,"Agalinis paupercula (A. Gray) Britton var. borealis Pennell",smallflower false foxglove
"AGPAP3",,"Agalinis paupercula (A. Gray) Britton var. paupercula ",smallflower false foxglove
"AGPU5",,"Agalinis purpurea (L.) Pennell",purple false foxglove
"AGTE3",,"Agalinis tenuifolia (Vahl) Raf.",slenderleaf false foxglove
