Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"ELMA8",,"×Elyhordeum macounii (Vasey) Barkworth & D.R. Dewey [Elymus trachycaulus × Hordeum jubatum]",Macoun's barley
"PSSA2",,"×Pseudelymus saxicola (Scribn. & J.G. Sm.) Barkworth & D.R. Dewey [Elymus elymoides × Pseudoroegneria spicata]",foxtail wheatgrass
"ABCO",,"Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.",white fir
"ABLA",,"Abies lasiocarpa (Hook.) Nutt.",subalpine fir
"ABLAL",,"Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa ",subalpine fir
"ABAR",,"Abronia argillosa S.L. Welsh & Goodrich",clay sand verbena
"ABEL",,"Abronia elliptica A. Nelson",fragrant white sand verbena
"ABFR2",,"Abronia fragrans Nutt. ex Hook.",snowball sand verbena
"ABME",,"Abronia mellifera Douglas ex Hook.",white sand verbena
"ABNA",,"Abronia nana S. Watson",dwarf sand verbena
"ABNAH",,"Abronia nana S. Watson var. harrisii S.L. Welsh",Harris' dwarf sand verbena
"ABNAN",,"Abronia nana S. Watson var. nana ",dwarf sand verbena
"ABVI",,"Abronia villosa S. Watson",desert sand verbena
"ABVIV",,"Abronia villosa S. Watson var. villosa ",desert sand verbena
"ABPA3",,"Abutilon parvulum A. Gray",dwarf Indian mallow
"ABTH",,"Abutilon theophrasti Medik.",velvetleaf
"ACSP",,"Acamptopappus sphaerocephalus (Harv. & A. Gray ex A. Gray) A. Gray",rayless goldenhead
"ACSPS2",,"Acamptopappus sphaerocephalus (Harv. & A. Gray ex A. Gray) A. Gray var. sphaerocephalus ",rayless goldenhead
"ACGL",,"Acer glabrum Torr.",Rocky Mountain maple
"ACGLD3",,"Acer glabrum Torr. var. diffusum (Greene) Smiley",Rocky Mountain maple
"ACGLG2",,"Acer glabrum Torr. var. glabrum ",Rocky Mountain maple
"ACGLN2",,"Acer glabrum Torr. var. neomexicanum (Greene) Kearney & Peebles",New Mexico maple
"ACGR3",,"Acer grandidentatum Nutt.",bigtooth maple
"ACGRG",,"Acer grandidentatum Nutt. var. grandidentatum ",bigtooth maple
"ACNE2",,"Acer negundo L.",boxelder
"ACNEI2",,"Acer negundo L. var. interius (Britton) Sarg.",boxelder
"ACNEN",,"Acer negundo L. var. negundo ",boxelder
"ACFI",,"Achillea filipendulina Lam.",fernleaf yarrow
"ACMI2",,"Achillea millefolium L.",common yarrow
"ACMIA",,"Achillea millefolium L. var. alpicola (Rydb.) Garrett",common yarrow
"ACMIO",,"Achillea millefolium L. var. occidentalis DC.",western yarrow
"ACBL",,"Achnatherum ×bloomeri (Bol.) Barkworth [hymenoides × occidentale]",
"ACAR14",,"Achnatherum aridum (M.E. Jones) Barkworth",Mormon needlegrass
"ACHY",,"Achnatherum hymenoides (Roem. & Schult.) Barkworth",Indian ricegrass
"ACLE8",,"Achnatherum lemmonii (Vasey) Barkworth",Lemmon's needlegrass
"ACLEL",,"Achnatherum lemmonii (Vasey) Barkworth var. lemmonii ",Lemmon's needlegrass
"ACLE9",,"Achnatherum lettermanii (Vasey) Barkworth",Letterman's needlegrass
"ACNE9",,"Achnatherum nelsonii (Scribn.) Barkworth",Columbia needlegrass
"ACNED",,"Achnatherum nelsonii (Scribn.) Barkworth ssp. dorei (Barkworth & Maze) Barkworth",Dore's needlegrass
"ACNEN2",,"Achnatherum nelsonii (Scribn.) Barkworth ssp. nelsonii ",Columbia needlegrass
"ACNE10",,"Achnatherum nevadense (B.L. Johnson) Barkworth",Nevada needlegrass
"ACOC3",,"Achnatherum occidentale (Thurb.) Barkworth",western needlegrass
"ACOCP",,"Achnatherum occidentale (Thurb.) Barkworth ssp. pubescens (Vasey) Barkworth",pubescent western needlegrass
"ACPA13",,"Achnatherum parishii (Vasey) Barkworth",Parish's needlegrass
"ACPAD",,"Achnatherum parishii (Vasey) Barkworth var. depauperatum (M.E. Jones) Barkworth",little Parish's needlegrass
"ACPAP",,"Achnatherum parishii (Vasey) Barkworth var. parishii ",Parish's needlegrass
"ACPE13",,"Achnatherum perplexum Hoge & Barkworth",New Mexico needlegrass
